Index,X,Y,Z
570,1079046.80,-4853357.80,3981837.31
571,1079046.82,-4853357.77,3981837.19
572,1079046.87,-4853357.83,3981837.10
573,1079046.91,-4853357.87,3981837.05
574,1079046.94,-4853357.94,3981836.96
575,1079046.95,-4853357.99,3981836.89
576,1079046.98,-4853357.94,3981836.78
577,1079047.04,-4853357.88,3981836.68
578,1079047.04,-4853357.88,3981836.68
579,1079047.03,-4853357.90,3981836.66
580,1079047.04,-4853357.88,3981836.68
581,1079047.09,-4853357.98,3981836.71
582,1079047.18,-4853357.98,3981836.68
583,1079047.27,-4853357.98,3981836.66
584,1079047.36,-4853357.98,3981836.63
585,1079047.46,-4853357.98,3981836.61
586,1079047.56,-4853357.98,3981836.58
587,1079047.59,-4853357.91,3981836.49
588,1079047.60,-4853357.93,3981836.48
589,1079047.64,-4853357.85,3981836.40
590,1079047.66,-4853357.83,3981836.41
591,1079047.68,-4853357.82,3981836.43
592,1079047.69,-4853357.78,3981836.47
593,1079047.75,-4853357.74,3981836.50
594,1079047.80,-4853357.70,3981836.53
595,1079047.84,-4853357.69,3981836.54
596,1079047.84,-4853357.63,3981836.60
597,1079047.88,-4853357.58,3981836.66
598,1079047.84,-4853357.48,3981836.64
599,1079047.75,-4853357.39,3981836.60
600,1079047.61,-4853357.32,3981836.57
601,1079047.52,-4853357.23,3981836.54
602,1079047.47,-4853357.20,3981836.59
603,1079047.39,-4853357.13,3981836.53
604,1079047.31,-4853357.18,3981836.50
605,1079047.25,-4853357.20,3981836.48
606,1079047.19,-4853357.15,3981836.41
607,1079047.15,-4853357.16,3981836.41
608,1079047.05,-4853357.13,3981836.47
609,1079046.95,-4853357.09,3981836.55
610,1079046.82,-4853356.95,3981836.59
611,1079046.69,-4853356.83,3981836.62
612,1079046.55,-4853356.81,3981836.67
613,1079046.40,-4853356.80,3981836.73
614,1079046.23,-4853356.70,3981836.74
615,1079046.08,-4853356.67,3981836.81
616,1079045.98,-4853356.55,3981836.82
617,1079045.95,-4853356.48,3981836.91
618,1079045.92,-4853356.56,3981836.98
619,1079045.90,-4853356.66,3981837.03
620,1079045.91,-4853356.77,3981837.05
621,1079045.91,-4853356.88,3981837.07
622,1079045.93,-4853356.87,3981837.09
623,1079045.95,-4853356.87,3981837.09
624,1079045.92,-4853356.91,3981837.05
625,1079045.93,-4853356.95,3981837.00
626,1079045.94,-4853356.98,3981836.95
627,1079045.90,-4853357.02,3981836.91
628,1079045.92,-4853357.05,3981836.88
629,1079045.99,-4853357.17,3981836.86
630,1079046.05,-4853357.21,3981836.80
631,1079046.10,-4853357.33,3981836.81
632,1079046.11,-4853357.44,3981836.83
633,1079046.12,-4853357.46,3981836.80
634,1079046.13,-4853357.44,3981836.83
635,1079046.12,-4853357.40,3981836.88
636,1079046.09,-4853357.29,3981836.85
637,1079046.02,-4853357.18,3981836.85
638,1079046.00,-4853357.13,3981836.91
639,1079045.97,-4853357.11,3981836.95
